epoch,train_loss,train_ce,train_accuracy,val_loss,val_accuracy,seconds
1,1.761743536633244,1.4349636764585694,70.17884914463453,0.5595640954434763,89.29219600725953,220.9547159000067
2,1.0604463381863678,0.5400279955025965,89.87169517884915,0.4266293870991674,92.19600725952813,237.00934579997556
3,0.9347160062745422,0.37351774158967227,94.16796267496112,0.3812043567318233,91.65154264972777,252.99400080001215
4,0.8792496817664448,0.30022371223147143,96.11197511664075,0.40555568355830307,92.28675136116152,267.00919599999906
5,0.8370126255934197,0.24760536318804205,97.53110419906687,0.3808179148312273,92.46823956442832,279.2647854000097
6,0.8136241378532042,0.22310403870016013,97.9199066874028,0.36935609438458283,92.46823956442832,291.4949146999861
7,0.7988328596296058,0.20483915486936435,98.50311041990669,0.36177141696701465,92.01451905626135,303.5914695999818
8,0.7829579652560814,0.18835867994680747,98.9113530326594,0.3743701128258679,92.19600725952813,315.5043379999697
9,0.7730252516584856,0.17759496395361737,99.30015552099533,0.37581833996919883,93.10344827586206,327.44411599996965
10,0.7643408971848792,0.1699261404863598,99.30015552099533,0.39877855323403805,92.92196007259528,339.66775439999765
