epoch,train_loss,train_ce,train_accuracy,val_loss,val_accuracy,seconds
1,1.4048653691775321,1.4048653690848343,69.61508553654744,0.5047121679717962,88.65698729582577,244.11607930000173
2,0.47146066983880747,0.471460669815633,89.32737169517885,0.3384743961361921,92.28675136116152,260.19577500002924
3,0.28393400283197223,0.28393400280879777,93.87636080870918,0.2971375280629485,91.56079854809437,276.19836040004157
4,0.20284538202764088,0.20284538202764088,95.8203732503888,0.27978244321099643,92.01451905626135,292.29068590002134
5,0.14068354397409627,0.14068354395092184,97.18118195956454,0.27173945756659534,92.28675136116152,308.3428951000096
6,0.11902371244751277,0.11902371244751277,97.31726283048212,0.2760317209844364,91.65154264972777,324.2338318999973
7,0.09909531965990831,0.09909531966570191,97.88102643856921,0.28725543169274304,91.92377495462794,340.05974630004494
8,0.07628268713760153,0.07628268713760153,98.4253499222395,0.31041498214493213,90.74410163339383,356.1503317000461
9,0.06755626326192223,0.06755626325033501,98.77527216174184,0.28576762436089626,92.10526315789474,371.9116017000051
10,0.055838777902384014,0.055838777896590405,98.98911353032659,0.28981296834409126,92.10526315789474,387.67597780004144
